[06-Jul-2017 19:23:03 UTC] Start get posts
[06-Jul-2017 19:23:10 UTC] before unique if statement
[06-Jul-2017 19:23:10 UTC] before unique if statement
[06-Jul-2017 19:23:10 UTC] before unique if statement
[06-Jul-2017 19:23:10 UTC] before unique if statement
[06-Jul-2017 19:23:11 UTC] before unique if statement
[06-Jul-2017 19:23:11 UTC] before unique if statement
[06-Jul-2017 19:23:11 UTC] before unique if statement
[06-Jul-2017 19:23:11 UTC] before unique if statement
[06-Jul-2017 19:23:11 UTC] before unique if statement
[06-Jul-2017 19:23:11 UTC] before unique if statement
[06-Jul-2017 19:23:11 UTC] before unique if statement
[06-Jul-2017 19:23:11 UTC] before unique if statement
[06-Jul-2017 19:23:12 UTC] before unique if statement
[06-Jul-2017 19:23:12 UTC] before unique if statement
[06-Jul-2017 19:23:12 UTC] before unique if statement
[06-Jul-2017 19:23:12 UTC] before unique if statement
[06-Jul-2017 19:23:12 UTC] before unique if statement
[06-Jul-2017 19:23:12 UTC] before unique if statement
[06-Jul-2017 19:23:12 UTC] before unique if statement
[06-Jul-2017 19:23:12 UTC] before unique if statement
[06-Jul-2017 19:23:12 UTC] before unique if statement
[06-Jul-2017 19:23:12 UTC] before unique if statement
[06-Jul-2017 19:23:13 UTC] before unique if statement
[06-Jul-2017 19:23:13 UTC] before unique if statement
[06-Jul-2017 20:23:53 UTC] Start get posts
[06-Jul-2017 20:23:53 UTC] before unique if statement
[06-Jul-2017 20:23:53 UTC] before unique if statement
[06-Jul-2017 20:23:53 UTC] before unique if statement
[06-Jul-2017 20:23:53 UTC] before unique if statement
[06-Jul-2017 20:23:53 UTC] before unique if statement
[06-Jul-2017 20:23:53 UTC] before unique if statement
[06-Jul-2017 20:23:53 UTC] before unique if statement
[06-Jul-2017 20:23:53 UTC] before unique if statement
[06-Jul-2017 20:23:53 UTC] before unique if statement
[06-Jul-2017 20:23:53 UTC] before unique if statement
[06-Jul-2017 20:23:53 UTC] before unique if statement
[06-Jul-2017 20:23:53 UTC] before unique if statement
[06-Jul-2017 20:23:53 UTC] before unique if statement
[06-Jul-2017 20:23:53 UTC] before unique if statement
[06-Jul-2017 20:23:53 UTC] before unique if statement
[06-Jul-2017 20:23:53 UTC] before unique if statement
[06-Jul-2017 20:23:53 UTC] before unique if statement
[06-Jul-2017 20:23:54 UTC] before unique if statement
[06-Jul-2017 20:23:54 UTC] before unique if statement
[06-Jul-2017 20:23:54 UTC] before unique if statement
[06-Jul-2017 20:23:54 UTC] before unique if statement
[06-Jul-2017 20:23:54 UTC] before unique if statement
[06-Jul-2017 20:23:54 UTC] before unique if statement
[06-Jul-2017 20:23:54 UTC] before unique if statement
[06-Jul-2017 20:23:54 UTC] before unique if statement
[06-Jul-2017 20:23:54 UTC] before unique if statement
[06-Jul-2017 20:23:55 UTC] before unique if statement
[06-Jul-2017 20:23:55 UTC] before unique if statement
[06-Jul-2017 20:23:55 UTC] before unique if statement
[06-Jul-2017 20:23:55 UTC] before unique if statement
[06-Jul-2017 20:23:55 UTC] before unique if statement
[06-Jul-2017 20:23:55 UTC] before unique if statement
[06-Jul-2017 20:23:55 UTC] before unique if statement
[06-Jul-2017 20:23:55 UTC] before unique if statement
[06-Jul-2017 20:23:55 UTC] before unique if statement
[06-Jul-2017 20:23:55 UTC] before unique if statement
[06-Jul-2017 20:23:55 UTC] before unique if statement
[06-Jul-2017 20:23:55 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:57 UTC] before unique if statement
[06-Jul-2017 20:23:58 UTC] before unique if statement
[06-Jul-2017 20:23:58 UTC] before unique if statement
[06-Jul-2017 20:23:58 UTC] before unique if statement
[06-Jul-2017 20:23:58 UTC] before unique if statement
[06-Jul-2017 20:23:58 UTC] before unique if statement
[06-Jul-2017 20:23:58 UTC] before unique if statement
[06-Jul-2017 20:23:58 UTC] before unique if statement
[06-Jul-2017 20:23:58 UTC] before unique if statement
[06-Jul-2017 20:23:58 UTC] before unique if statement
[06-Jul-2017 20:23:58 UTC] before unique if statement
[06-Jul-2017 20:23:59 UTC] before unique if statement
[06-Jul-2017 20:23:59 UTC] before unique if statement
[06-Jul-2017 20:23:59 UTC] before unique if statement
[06-Jul-2017 20:23:59 UTC] before unique if statement
[06-Jul-2017 20:23:59 UTC] before unique if statement
[06-Jul-2017 20:23:59 UTC] before unique if statement
[06-Jul-2017 20:23:59 UTC] before unique if statement
[06-Jul-2017 20:23:59 UTC] before unique if statement
[06-Jul-2017 21:28:53 UTC] Start get posts
[06-Jul-2017 21:28:53 UTC] before unique if statement
[06-Jul-2017 21:28:53 UTC] before unique if statement
[06-Jul-2017 21:28:53 UTC] before unique if statement
[06-Jul-2017 21:28:53 UTC] before unique if statement
[06-Jul-2017 21:28:53 UTC] before unique if statement
[06-Jul-2017 21:28:53 UTC] before unique if statement
[06-Jul-2017 21:28:53 UTC] before unique if statement
[06-Jul-2017 21:28:53 UTC] before unique if statement
[06-Jul-2017 21:28:53 UTC] before unique if statement
[06-Jul-2017 21:28:53 UTC] before unique if statement
[06-Jul-2017 21:28:53 UTC] before unique if statement
[06-Jul-2017 21:28:54 UTC] before unique if statement
[06-Jul-2017 21:28:54 UTC] before unique if statement
[06-Jul-2017 21:28:54 UTC] before unique if statement
[06-Jul-2017 21:28:54 UTC] before unique if statement
[06-Jul-2017 21:28:54 UTC] before unique if statement
[06-Jul-2017 21:28:54 UTC] before unique if statement
[06-Jul-2017 21:28:55 UTC] before unique if statement
[06-Jul-2017 21:28:55 UTC] before unique if statement
[06-Jul-2017 21:28:55 UTC] before unique if statement
[06-Jul-2017 21:28:55 UTC] before unique if statement
[06-Jul-2017 21:28:55 UTC] before unique if statement
[06-Jul-2017 21:28:55 UTC] before unique if statement
[06-Jul-2017 21:28:55 UTC] before unique if statement
[06-Jul-2017 21:28:56 UTC] before unique if statement
[06-Jul-2017 21:28:56 UTC] before unique if statement
[06-Jul-2017 21:28:56 UTC] before unique if statement
[06-Jul-2017 21:28:56 UTC] before unique if statement
[06-Jul-2017 21:28:56 UTC] before unique if statement
[06-Jul-2017 21:28:56 UTC] before unique if statement
[06-Jul-2017 21:28:57 UTC] before unique if statement
[06-Jul-2017 21:28:57 UTC] before unique if statement
[06-Jul-2017 21:28:57 UTC] before unique if statement
[06-Jul-2017 21:28:57 UTC] before unique if statement
[06-Jul-2017 21:28:57 UTC] before unique if statement
[06-Jul-2017 21:28:57 UTC] before unique if statement
[06-Jul-2017 21:28:57 UTC] before unique if statement
[06-Jul-2017 21:28:57 UTC] before unique if statement
[06-Jul-2017 21:28:58 UTC] before unique if statement
[06-Jul-2017 21:28:58 UTC] before unique if statement
[06-Jul-2017 21:28:58 UTC] before unique if statement
[06-Jul-2017 21:28:58 UTC] before unique if statement
[06-Jul-2017 21:28:58 UTC] before unique if statement
[06-Jul-2017 21:28:58 UTC] before unique if statement
[06-Jul-2017 21:28:58 UTC] before unique if statement
[06-Jul-2017 21:28:58 UTC] before unique if statement
[06-Jul-2017 21:28:58 UTC] before unique if statement
[06-Jul-2017 21:28:58 UTC] before unique if statement
[06-Jul-2017 21:29:00 UTC] before unique if statement
[06-Jul-2017 21:29:00 UTC] before unique if statement
[06-Jul-2017 21:29:00 UTC] before unique if statement
[06-Jul-2017 21:29:00 UTC] before unique if statement
[06-Jul-2017 21:29:01 UTC] before unique if statement
[06-Jul-2017 21:29:01 UTC] before unique if statement
[06-Jul-2017 21:29:01 UTC] before unique if statement
[06-Jul-2017 21:29:01 UTC] before unique if statement
[06-Jul-2017 21:29:01 UTC] before unique if statement
[06-Jul-2017 21:29:02 UTC] before unique if statement
[06-Jul-2017 21:29:02 UTC] before unique if statement
[06-Jul-2017 21:29:02 UTC] before unique if statement
[06-Jul-2017 21:29:02 UTC] before unique if statement
[06-Jul-2017 21:29:02 UTC] before unique if statement
[06-Jul-2017 21:29:02 UTC] before unique if statement
[06-Jul-2017 21:29:02 UTC] before unique if statement
[06-Jul-2017 21:29:02 UTC] before unique if statement
[06-Jul-2017 21:29:02 UTC] before unique if statement
[06-Jul-2017 21:29:03 UTC] before unique if statement
[06-Jul-2017 21:29:03 UTC] before unique if statement
[06-Jul-2017 21:29:03 UTC] before unique if statement
[06-Jul-2017 21:29:03 UTC] before unique if statement
[06-Jul-2017 21:29:04 UTC] before unique if statement
[06-Jul-2017 21:29:04 UTC] before unique if statement
[06-Jul-2017 21:29:04 UTC] before unique if statement
[06-Jul-2017 21:29:04 UTC] before unique if statement
[06-Jul-2017 22:23:53 UTC] Start get posts
[06-Jul-2017 22:23:53 UTC] before unique if statement
[06-Jul-2017 22:23:53 UTC] before unique if statement
[06-Jul-2017 22:23:53 UTC] before unique if statement
[06-Jul-2017 22:23:53 UTC] before unique if statement
[06-Jul-2017 22:23:53 UTC] before unique if statement
[06-Jul-2017 22:23:53 UTC] before unique if statement
[06-Jul-2017 22:23:53 UTC] before unique if statement
[06-Jul-2017 22:23:53 UTC] before unique if statement
[06-Jul-2017 22:23:53 UTC] before unique if statement
[06-Jul-2017 22:23:53 UTC] before unique if statement
[06-Jul-2017 22:23:54 UTC] before unique if statement
[06-Jul-2017 22:23:54 UTC] before unique if statement
[06-Jul-2017 22:23:54 UTC] before unique if statement
[06-Jul-2017 22:23:54 UTC] before unique if statement
[06-Jul-2017 22:23:54 UTC] before unique if statement
[06-Jul-2017 22:23:54 UTC] before unique if statement
[06-Jul-2017 22:23:55 UTC] before unique if statement
[06-Jul-2017 22:23:55 UTC] before unique if statement
[06-Jul-2017 22:23:55 UTC] before unique if statement
[06-Jul-2017 22:23:55 UTC] before unique if statement
[06-Jul-2017 22:23:55 UTC] before unique if statement
[06-Jul-2017 22:23:55 UTC] before unique if statement
[06-Jul-2017 22:23:55 UTC] before unique if statement
[06-Jul-2017 22:23:55 UTC] before unique if statement
[06-Jul-2017 22:23:55 UTC] before unique if statement
[06-Jul-2017 22:23:56 UTC] before unique if statement
[06-Jul-2017 22:23:56 UTC] before unique if statement
[06-Jul-2017 22:23:56 UTC] before unique if statement
[06-Jul-2017 22:23:56 UTC] before unique if statement
[06-Jul-2017 22:23:56 UTC] before unique if statement
[06-Jul-2017 22:23:56 UTC] before unique if statement
[06-Jul-2017 22:23:56 UTC] before unique if statement
[06-Jul-2017 22:23:56 UTC] before unique if statement
[06-Jul-2017 22:23:56 UTC] before unique if statement
[06-Jul-2017 22:23:56 UTC] before unique if statement
[06-Jul-2017 22:23:56 UTC] before unique if statement
[06-Jul-2017 22:23:56 UTC] before unique if statement
[06-Jul-2017 22:23:56 UTC] before unique if statement
[06-Jul-2017 22:23:57 UTC] before unique if statement
[06-Jul-2017 22:23:57 UTC] before unique if statement
[06-Jul-2017 22:23:57 UTC] before unique if statement
[06-Jul-2017 22:23:57 UTC] before unique if statement
[06-Jul-2017 22:23:57 UTC] before unique if statement
[06-Jul-2017 22:23:57 UTC] before unique if statement
[06-Jul-2017 22:23:57 UTC] before unique if statement
[06-Jul-2017 22:23:57 UTC] before unique if statement
[06-Jul-2017 22:23:57 UTC] before unique if statement
[06-Jul-2017 22:23:57 UTC] before unique if statement
[06-Jul-2017 22:23:59 UTC] before unique if statement
[06-Jul-2017 22:23:59 UTC] before unique if statement
[06-Jul-2017 22:23:59 UTC] before unique if statement
[06-Jul-2017 22:23:59 UTC] before unique if statement
[06-Jul-2017 22:23:59 UTC] before unique if statement
[06-Jul-2017 22:23:59 UTC] before unique if statement
[06-Jul-2017 22:23:59 UTC] before unique if statement
[06-Jul-2017 22:23:59 UTC] before unique if statement
[06-Jul-2017 22:23:59 UTC] before unique if statement
[06-Jul-2017 22:24:00 UTC] before unique if statement
[06-Jul-2017 22:24:00 UTC] before unique if statement
[06-Jul-2017 22:24:00 UTC] before unique if statement
[06-Jul-2017 22:24:00 UTC] before unique if statement
[06-Jul-2017 22:24:00 UTC] before unique if statement
[06-Jul-2017 22:24:00 UTC] before unique if statement
[06-Jul-2017 22:24:00 UTC] before unique if statement
[06-Jul-2017 22:24:00 UTC] before unique if statement
[06-Jul-2017 22:24:00 UTC] before unique if statement
[06-Jul-2017 22:24:00 UTC] before unique if statement
[06-Jul-2017 22:24:02 UTC] before unique if statement
[06-Jul-2017 22:24:02 UTC] before unique if statement
[06-Jul-2017 22:24:02 UTC] before unique if statement
[06-Jul-2017 22:24:02 UTC] before unique if statement
[06-Jul-2017 22:24:02 UTC] before unique if statement
[06-Jul-2017 22:24:02 UTC] before unique if statement
[06-Jul-2017 22:24:02 UTC] before unique if statement
[06-Jul-2017 23:21:51 UTC] Start get posts
[06-Jul-2017 23:21:51 UTC] PHP Fatal error:  Uncaught PicoFeed\Client\InvalidUrlException: Unable to resolve hostname in /Users/jakecampa/Desktop/rssfeed-wp/wp-content/plugins/rssfeeder/vendor/miniflux/picofeed/lib/PicoFeed/Client/Curl.php:376
Stack trace:
#0 /Users/jakecampa/Desktop/rssfeed-wp/wp-content/plugins/rssfeeder/vendor/miniflux/picofeed/lib/PicoFeed/Client/Curl.php(281): PicoFeed\Client\Curl->handleError(6)
#1 /Users/jakecampa/Desktop/rssfeed-wp/wp-content/plugins/rssfeeder/vendor/miniflux/picofeed/lib/PicoFeed/Client/Curl.php(297): PicoFeed\Client\Curl->executeContext()
#2 /Users/jakecampa/Desktop/rssfeed-wp/wp-content/plugins/rssfeeder/vendor/miniflux/picofeed/lib/PicoFeed/Client/Client.php(219): PicoFeed\Client\Curl->doRequest()
#3 /Users/jakecampa/Desktop/rssfeed-wp/wp-content/plugins/rssfeeder/vendor/miniflux/picofeed/lib/PicoFeed/Reader/Reader.php(53): PicoFeed\Client\Client->execute('http://feeds.re...')
#4 /Users/jakecampa/Desktop/rssfeed-wp/wp-content/plugins/rssfeeder/rssfeeder.php(146): PicoFeed\Reader\Reader->download('http://feed in /Users/jakecampa/Desktop/rssfeed-wp/wp-content/plugins/rssfeeder/vendor/miniflux/picofeed/lib/PicoFeed/Client/Curl.php on line 376
[07-Jul-2017 00:31:51 UTC] Start get posts
[07-Jul-2017 00:31:53 UTC] before unique if statement
[07-Jul-2017 00:31:53 UTC] before unique if statement
[07-Jul-2017 00:31:53 UTC] before unique if statement
[07-Jul-2017 00:31:53 UTC] before unique if statement
[07-Jul-2017 00:31:53 UTC] before unique if statement
[07-Jul-2017 00:31:53 UTC] before unique if statement
[07-Jul-2017 00:31:53 UTC] before unique if statement
[07-Jul-2017 00:31:53 UTC] before unique if statement
[07-Jul-2017 00:31:53 UTC] before unique if statement
[07-Jul-2017 00:31:53 UTC] before unique if statement
[07-Jul-2017 00:31:54 UTC] before unique if statement
[07-Jul-2017 00:31:54 UTC] before unique if statement
[07-Jul-2017 00:31:54 UTC] before unique if statement
[07-Jul-2017 00:31:54 UTC] before unique if statement
[07-Jul-2017 00:31:54 UTC] before unique if statement
[07-Jul-2017 00:31:54 UTC] before unique if statement
[07-Jul-2017 00:31:55 UTC] before unique if statement
[07-Jul-2017 00:31:55 UTC] before unique if statement
[07-Jul-2017 00:31:55 UTC] before unique if statement
[07-Jul-2017 00:31:55 UTC] before unique if statement
[07-Jul-2017 00:31:55 UTC] before unique if statement
[07-Jul-2017 00:31:55 UTC] before unique if statement
[07-Jul-2017 00:31:55 UTC] before unique if statement
[07-Jul-2017 00:31:56 UTC] before unique if statement
[07-Jul-2017 00:31:56 UTC] before unique if statement
[07-Jul-2017 00:31:56 UTC] before unique if statement
[07-Jul-2017 00:31:56 UTC] before unique if statement
[07-Jul-2017 00:31:56 UTC] before unique if statement
[07-Jul-2017 00:31:56 UTC] before unique if statement
[07-Jul-2017 00:31:57 UTC] before unique if statement
[07-Jul-2017 00:32:03 UTC] before unique if statement
[07-Jul-2017 00:32:03 UTC] before unique if statement
[07-Jul-2017 00:32:03 UTC] before unique if statement
[07-Jul-2017 00:32:03 UTC] before unique if statement
[07-Jul-2017 00:32:03 UTC] before unique if statement
[07-Jul-2017 00:32:03 UTC] before unique if statement
[07-Jul-2017 00:32:03 UTC] before unique if statement
[07-Jul-2017 00:32:03 UTC] before unique if statement
[07-Jul-2017 00:32:05 UTC] before unique if statement
[07-Jul-2017 00:32:05 UTC] before unique if statement
[07-Jul-2017 00:32:05 UTC] before unique if statement
[07-Jul-2017 00:32:05 UTC] before unique if statement
[07-Jul-2017 00:32:05 UTC] before unique if statement
[07-Jul-2017 00:32:05 UTC] before unique if statement
[07-Jul-2017 00:32:05 UTC] before unique if statement
[07-Jul-2017 00:32:05 UTC] before unique if statement
[07-Jul-2017 00:32:05 UTC] before unique if statement
[07-Jul-2017 00:32:05 UTC] before unique if statement
[07-Jul-2017 00:32:10 UTC] before unique if statement
[07-Jul-2017 00:32:10 UTC] before unique if statement
[07-Jul-2017 00:32:10 UTC] before unique if statement
[07-Jul-2017 00:32:10 UTC] before unique if statement
[07-Jul-2017 00:32:10 UTC] before unique if statement
[07-Jul-2017 00:32:11 UTC] before unique if statement
[07-Jul-2017 00:32:11 UTC] before unique if statement
[07-Jul-2017 00:32:11 UTC] before unique if statement
[07-Jul-2017 00:32:11 UTC] before unique if statement
[07-Jul-2017 00:32:12 UTC] before unique if statement
[07-Jul-2017 00:32:13 UTC] before unique if statement
[07-Jul-2017 00:32:13 UTC] before unique if statement
[07-Jul-2017 00:32:13 UTC] before unique if statement
[07-Jul-2017 00:32:13 UTC] before unique if statement
[07-Jul-2017 00:32:13 UTC] before unique if statement
[07-Jul-2017 00:32:13 UTC] before unique if statement
[07-Jul-2017 00:32:13 UTC] before unique if statement
[07-Jul-2017 00:32:13 UTC] before unique if statement
[07-Jul-2017 00:32:13 UTC] before unique if statement
[07-Jul-2017 00:32:18 UTC] before unique if statement
[07-Jul-2017 00:32:18 UTC] before unique if statement
[07-Jul-2017 00:32:18 UTC] before unique if statement
[07-Jul-2017 00:32:18 UTC] before unique if statement
[07-Jul-2017 00:32:18 UTC] before unique if statement
[07-Jul-2017 00:32:18 UTC] before unique if statement
[07-Jul-2017 00:32:18 UTC] before unique if statement
[07-Jul-2017 00:32:18 UTC] before unique if statement
[07-Jul-2017 00:32:19 UTC] before unique if statement
[07-Jul-2017 10:39:34 UTC] Start get posts
[07-Jul-2017 10:39:34 UTC] before unique if statement
[07-Jul-2017 10:39:34 UTC] before unique if statement
[07-Jul-2017 10:39:34 UTC] before unique if statement
[07-Jul-2017 10:39:34 UTC] before unique if statement
[07-Jul-2017 10:39:34 UTC] before unique if statement
[07-Jul-2017 10:39:34 UTC] before unique if statement
[07-Jul-2017 10:39:34 UTC] before unique if statement
[07-Jul-2017 10:39:34 UTC] before unique if statement
[07-Jul-2017 10:39:34 UTC] before unique if statement
[07-Jul-2017 10:39:34 UTC] before unique if statement
[07-Jul-2017 10:39:34 UTC] before unique if statement
[07-Jul-2017 10:39:34 UTC] before unique if statement
[07-Jul-2017 10:39:35 UTC] before unique if statement
[07-Jul-2017 10:39:35 UTC] before unique if statement
[07-Jul-2017 10:39:35 UTC] before unique if statement
[07-Jul-2017 10:39:35 UTC] before unique if statement
[07-Jul-2017 10:39:35 UTC] before unique if statement
[07-Jul-2017 10:39:35 UTC] before unique if statement
[07-Jul-2017 10:39:35 UTC] before unique if statement
[07-Jul-2017 10:39:35 UTC] before unique if statement
[07-Jul-2017 10:39:36 UTC] before unique if statement
[07-Jul-2017 10:39:36 UTC] before unique if statement
[07-Jul-2017 10:39:36 UTC] before unique if statement
[07-Jul-2017 10:39:36 UTC] before unique if statement
[07-Jul-2017 10:39:36 UTC] before unique if statement
[07-Jul-2017 10:39:36 UTC] before unique if statement
[07-Jul-2017 10:39:36 UTC] before unique if statement
[07-Jul-2017 10:39:36 UTC] before unique if statement
[07-Jul-2017 10:39:36 UTC] before unique if statement
[07-Jul-2017 10:39:37 UTC] before unique if statement
[07-Jul-2017 10:39:37 UTC] before unique if statement
[07-Jul-2017 10:39:37 UTC] before unique if statement
[07-Jul-2017 10:39:37 UTC] before unique if statement
[07-Jul-2017 10:39:37 UTC] before unique if statement
[07-Jul-2017 10:39:37 UTC] before unique if statement
[07-Jul-2017 10:39:37 UTC] before unique if statement
[07-Jul-2017 10:39:37 UTC] before unique if statement
[07-Jul-2017 10:39:37 UTC] before unique if statement
[07-Jul-2017 10:39:37 UTC] before unique if statement
[07-Jul-2017 10:39:37 UTC] before unique if statement
[07-Jul-2017 10:39:38 UTC] before unique if statement
[07-Jul-2017 10:39:38 UTC] before unique if statement
[07-Jul-2017 10:39:38 UTC] before unique if statement
[07-Jul-2017 10:39:38 UTC] before unique if statement
[07-Jul-2017 10:39:38 UTC] before unique if statement
[07-Jul-2017 10:39:38 UTC] before unique if statement
[07-Jul-2017 10:39:38 UTC] before unique if statement
[07-Jul-2017 10:39:38 UTC] before unique if statement
[07-Jul-2017 10:39:38 UTC] before unique if statement
[07-Jul-2017 10:39:39 UTC] before unique if statement
[07-Jul-2017 10:39:39 UTC] before unique if statement
[07-Jul-2017 10:39:39 UTC] before unique if statement
[07-Jul-2017 10:39:39 UTC] before unique if statement
[07-Jul-2017 10:39:39 UTC] before unique if statement
[07-Jul-2017 10:39:40 UTC] before unique if statement
[07-Jul-2017 10:39:40 UTC] before unique if statement
[07-Jul-2017 10:39:40 UTC] before unique if statement
[07-Jul-2017 10:39:40 UTC] before unique if statement
[07-Jul-2017 10:39:40 UTC] before unique if statement
[07-Jul-2017 10:39:40 UTC] before unique if statement
[07-Jul-2017 10:39:41 UTC] before unique if statement
[07-Jul-2017 10:39:41 UTC] before unique if statement
[07-Jul-2017 10:39:41 UTC] before unique if statement
[07-Jul-2017 10:39:41 UTC] before unique if statement
[07-Jul-2017 10:39:41 UTC] before unique if statement
[07-Jul-2017 10:39:41 UTC] before unique if statement
[07-Jul-2017 10:39:41 UTC] before unique if statement
[07-Jul-2017 10:39:41 UTC] before unique if statement
[07-Jul-2017 10:39:42 UTC] before unique if statement
[07-Jul-2017 16:25:55 UTC] Start get posts
[07-Jul-2017 16:25:55 UTC] before unique if statement
[07-Jul-2017 16:25:55 UTC] before unique if statement
[07-Jul-2017 16:25:55 UTC] before unique if statement
[07-Jul-2017 16:25:55 UTC] before unique if statement
[07-Jul-2017 16:25:55 UTC] before unique if statement
[07-Jul-2017 16:25:55 UTC] before unique if statement
[07-Jul-2017 16:25:55 UTC] before unique if statement
[07-Jul-2017 16:25:55 UTC] before unique if statement
[07-Jul-2017 16:25:55 UTC] before unique if statement
[07-Jul-2017 16:25:55 UTC] before unique if statement
[07-Jul-2017 16:25:55 UTC] before unique if statement
[07-Jul-2017 16:25:56 UTC] before unique if statement
[07-Jul-2017 16:25:56 UTC] before unique if statement
[07-Jul-2017 16:25:56 UTC] before unique if statement
[07-Jul-2017 16:25:56 UTC] before unique if statement
[07-Jul-2017 16:25:56 UTC] before unique if statement
[07-Jul-2017 16:25:56 UTC] before unique if statement
[07-Jul-2017 16:25:56 UTC] before unique if statement
[07-Jul-2017 16:25:56 UTC] before unique if statement
[07-Jul-2017 16:25:56 UTC] before unique if statement
[07-Jul-2017 16:25:57 UTC] before unique if statement
[07-Jul-2017 16:25:57 UTC] before unique if statement
[07-Jul-2017 16:25:57 UTC] before unique if statement
[07-Jul-2017 16:25:57 UTC] before unique if statement
[07-Jul-2017 16:25:57 UTC] before unique if statement
[07-Jul-2017 16:25:57 UTC] before unique if statement
[07-Jul-2017 16:25:57 UTC] before unique if statement
[07-Jul-2017 16:25:57 UTC] before unique if statement
[07-Jul-2017 16:25:58 UTC] before unique if statement
[07-Jul-2017 16:25:58 UTC] before unique if statement
[07-Jul-2017 16:25:58 UTC] before unique if statement
[07-Jul-2017 16:25:58 UTC] before unique if statement
[07-Jul-2017 16:25:58 UTC] before unique if statement
[07-Jul-2017 16:25:58 UTC] before unique if statement
[07-Jul-2017 16:25:58 UTC] before unique if statement
[07-Jul-2017 16:25:58 UTC] before unique if statement
[07-Jul-2017 16:25:58 UTC] before unique if statement
[07-Jul-2017 16:25:58 UTC] before unique if statement
[07-Jul-2017 16:25:58 UTC] before unique if statement
[07-Jul-2017 16:25:58 UTC] before unique if statement
[07-Jul-2017 16:26:00 UTC] before unique if statement
[07-Jul-2017 16:26:00 UTC] before unique if statement
